id;date;details;status;payment_method;payment_date;payment_amount
1;2022-01-05T04:50:52;RAM systemic;PAID;CASH_ON_DELIVERY;2022-01-05T09:16:47;5801
2;2022-01-04T23:05:03;Idaho calculating model;ISSUED;CREDIT_CARD;2022-01-05T01:20:00;75071
3;2022-01-04T21:51:01;program SQL;CANCELLED;CREDIT_CARD;2022-01-04T20:30:25;79944
4;2022-01-05T08:45:08;Soft Central;PAID;CASH_ON_DELIVERY;2022-01-05T06:00:49;8068
5;2022-01-05T12:52:00;Bhutanese;CANCELLED;PAYPAL;2022-01-05T14:41:33;87472
6;2022-01-05T01:28:28;Engineer Shirt Court;CANCELLED;PAYPAL;2022-01-05T17:12:55;62834
7;2022-01-05T13:00:50;program transmitting parse;PAID;CREDIT_CARD;2022-01-05T04:01:08;38509
8;2022-01-05T03:42:26;Dynamic iterate;PAID;CREDIT_CARD;2022-01-04T23:59:14;6085
9;2022-01-04T20:36:09;black Maine;PAID;CREDIT_CARD;2022-01-04T23:18:14;11254
10;2022-01-05T09:51:30;Lead Well;CANCELLED;PAYPAL;2022-01-04T23:08:38;85804
