id;sku;upc;name;description;price;product_size;colors;image;image_content_type;image_sha_1;image_cdn_url;thumbnail_sha_1;thumbnail_cdn_url
1;Steel;Assistant;cross-platform Principal;../fake-data/blob/hipster.txt;35091;M;"ectxt,qfsmwq,bw,cylb,b";../fake-data/blob/hipster.png;image/png;"44170530bf921877e24e1da352cf21ce5aacdb6c";Oklahoma;"de9b1969f38d6a787239dba2c0e2e141c47c9cdc";Tunnel
2;Intelligent;pixel methodical quantifying;rich South Forward;../fake-data/blob/hipster.txt;79521;S;"cj,bnuy,l,gyfyus,jfjli";../fake-data/blob/hipster.png;image/png;"a8303abe8ebb9ab4ce0296ca8f2829bac4439966";Incredible IB;"2a9bced4be8f67b089ae28561633b1902c8ec490";CFA
3;Colombian B2C;bypassing Gateway Virtual;index Account Concrete;../fake-data/blob/hipster.txt;32973;XS;"tqeig,y,ia,pn,rca";../fake-data/blob/hipster.png;image/png;"2d19ee73c60f32f0fcc4cd132533499e1ba9eadc";ability;"b26c9ea2086b8e21298794addf94e097f221958e";revolutionize Orchestrator Directives
4;Guinea-Bissau SCSI;Serbia;content Cordoba;../fake-data/blob/hipster.txt;57103;XXL;"h,gpuc";../fake-data/blob/hipster.png;image/png;"a8e7349221591b832efa35a83610db7170cbd8f7";Visionary Baby teal;"9d0bb72ee7714442032c5c0bd6d25be45666cf22";U.S. copying Dakota
5;user-facing benchmark 1080p;Manat relationships hacking;Florida deposit generation;../fake-data/blob/hipster.txt;26836;XL;"bdc,ug,jesqt,y,w,fpm";../fake-data/blob/hipster.png;image/png;"726f3b6f91dfa00b8acac19332621aacefe67560";Bolivar methodology;"35e500e182218078ac371367c3f7aaa536747d6a";Ergonomic deposit
6;copying Ouguiya;International;bleeding-edge Chief;../fake-data/blob/hipster.txt;77961;XL;"kjgsg,xjciaw,ie,ko";../fake-data/blob/hipster.png;image/png;"893fbddb3de92d503509102447b022f7a9342d26";Usability THX virtual;"325c564903f61acdb8a6ea836c66b25adb5d62fc";ADP hub
7;Sleek generating PCI;magenta;Orchestrator invoice;../fake-data/blob/hipster.txt;46098;XL;"i,mkgahs,qu,bnaubb,z,uhtn";../fake-data/blob/hipster.png;image/png;"887c34fb02fc16f8964db10bbfeca3397710a76c";Florida Islands;"6e803bc04d46ba67d395149fd019de1160ef261f";Paradigm neural-net
8;Springs;Borders indexing AGP;British;../fake-data/blob/hipster.txt;97343;M;"ljhey,gonpny,zyo,j,knnfy,yqyu";../fake-data/blob/hipster.png;image/png;"3c9d0f28740cddb2a4a054eca1bd9e3e168c5415";reintermediate service-desk;"ab2573c1464595bdf0517d0b64b3f25ad123ab2e";coherent Niger quantify
9;Automotive;Idaho interactive Card;indexing deposit Georgia;../fake-data/blob/hipster.txt;50307;M;"tyg,jwq,l,ungui";../fake-data/blob/hipster.png;image/png;"175dc3abc4da917de4dd64d3586a54d72a9ecaf2";payment Account;"80073442733acb1a2eac0843704e63245fd62d8c";Wooden Saint application
10;capacitor Greens Gorgeous;Route Corporate;TCP Papua Director;../fake-data/blob/hipster.txt;90067;XXL;"jgfrol,ydb";../fake-data/blob/hipster.png;image/png;"63d499fdcc0c6d3dd5a8901b5fa110240955d4c8";Robust;"ca38521184f934c918fcf8ededcc31ea9e70487b";yellow wireless Uruguay
