id;placed_date;status;invoice_id;code
1;2022-01-05T12:26:54;COMPLETED;11446;lavender
2;2022-01-05T16:04:54;CANCELLED;64871;e-enable one-to-one
3;2022-01-04T23:07:14;COMPLETED;91159;background out-of-the-box withdrawal
4;2022-01-04T21:20:47;COMPLETED;47588;Concrete
5;2022-01-05T02:23:13;CANCELLED;63689;Car hybrid Generic
6;2022-01-05T01:37:21;CANCELLED;37922;harness Holy United
7;2022-01-05T10:44:46;COMPLETED;15762;Visionary
8;2022-01-04T23:31:31;CANCELLED;1365;Credit Soft Cotton
9;2022-01-05T15:06:04;CANCELLED;52097;Implemented
10;2022-01-05T13:21:43;COMPLETED;61775;solution protocol
